id,name,login,password,company_id/id,active,lang,tz,action_id/id,notification_email_send,email,signature,groups_id/id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base.user_OF-AQ,OF-AQ,OF-AQ,OF-AQ,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-AQ,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-B2S,OF-B2S,OF-B2S,OF-B2S,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-B2S,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-C,OF-C,OF-C,OF-C,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-C,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-LT,OF-LT,OF-LT,OF-LT,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-LT,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-MO,OF-MO,OF-MO,OF-MO,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-MO,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-PF,OF-PF,OF-PF,OF-PF,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-PF,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_OF-SM,OF-SM,OF-SM,OF-SM,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- OF-SM,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_kitti,กิตติ,kitti,kitti,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- Kitti,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_gift,กิ๊ฟ,gift,gift,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- gift,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
base.user_kumutna,กุมุทณา,kumutanat,kumutanat,base.main_company,True,en_US,Asia/Bangkok,,Never,admin@example.com,-- kumutanat,base.group_erp_manager,base.group_system,base.group_user,base.group_multi_currency,base.group_no_one,base.group_sale_salesman,base.group_sale_manager,base.group_partner_manager,product.group_sale_pricelist,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_stock_packaging,account.group_account_invoice,account.group_account_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_sale_salesman_all_leads,sale.group_delivery_invoice_address,sale.group_discount_per_so_line,stock.group_stock_user,stock.group_stock_manager,stock.group_inventory_valuation,stock.group_locations,sale_stock.group_invoice_deli_orders,purchase.group_purchase_user,purchase.group_purchase_manager,mrp.group_mrp_user,mrp.group_mrp_manager
